弾く;ハジク
封筒;フウトウ
財布;サイフ
閉める;シメル
テスト;テスト
帽子;ボウシ
塩;シオ
ズボン;ズボン
喫茶;キッサ
スカート;スカート
習う;ナラウ
咲く;サク
牛乳;ギュウニュウ
ナイフ;ナイフ
夏休み;ナツヤスミ
砂糖;サトウ
傘;カサ
冊;サツ
授業;ジュギョウ
醤油;ショウユ
黄色い;キイロイ
葉書;ハガキ
あれ;アレ
締める;シメル
コップ;コップ
デパート;デパート
シャワー;シャワー
箸;ハシ
警官;ケイカン
月曜;ゲツヨウ
鞄;カバン
食堂;ショクドウ
涼しい;スズシイ
プール;プール
ゼロ;ゼロ
黄色;キイロ
エレベーター;エレベーター
フィルム;フィルム
石鹸;セッケン
晴れる;ハレル
飲み物;ノミモノ
鳴く;ナク
茶色;チャイロ
金曜;キンヨウ
キログラム;キログラム
ギター;ギター
切符;キップ
出口;デグチ
飴;アメ
ネクタイ;ネクタイ
今日は;コンニチハ
さようなら;サヨウナラ
御早う;オハヨウ
今月;コンゲツ
上着;ウワギ
辞書;ジショ
ハンカチ;ハンカチ
毎晩;マイバン
切手;キッテ
縦;タテ
茶碗;チャワン
毎朝;マイアサ
毎週;マイシュウ
バター;バター
靴下;クツシタ
セーター;セーター
来週;ライシュウ
レコード;レコード
閉まる;シマル
賑やか;ニギヤカ
曇る;クモル
今晩;コンバン
宿題;シュクダイ
先週;センシュウ
果物;クダモノ
片仮名;カタカナ
夕飯;ユウハン
紅茶;コウチャ
来月;ライゲツ
鉛筆;エンピツ
水曜;スイヨウ
火曜;カヨウ
先月;センゲツ
スリッパ;スリッパ
丈夫;ジョウブ
灰皿;ハイザラ
今週;コンシュウ
ストーブ;ストーブ
スプーン;スプーン
平仮名;ヒラガナ
カレンダー;カレンダー
背広;セビロ
木曜;モクヨウ
交番;コウバン
患う;ワズラウ
今晩は;コンバンハ
もしもし;モシモシ
ワイシャツ;ワイシャツ
手洗い;テアライ
牛肉;ギュウニク
点ける;ツケル
一昨日;オトトイ
曇り;クモリ
作文;サクブン
豚肉;ブタニク
本棚;ホンダナ
晩御飯;バンゴハン
温い;ヌルイ
花瓶;カビン
あさって;アサッテ
八百屋;ヤオヤ
御巡り;オマワリ
ラジカセ;ラジカセ
易しい;ヤサシイ
一昨年;オトトシ
鳥肉;トリニク
朝御飯;アサゴハン
字引き;ジビキ
昼御飯;ヒルゴハン
事;コト
れる;レル
様;ヨウ
ず;ズ
思う;オモウ
ば;バ
られる;ラレル
仕舞う;シマウ
せる;セル
な;ナ
けれど;ケレド
彼;カレ
気;キ
し;シ
呉れる;クレル
為;タメ
考える;カンガエル
場合;バアイ
そんな;ソンナ
ほど;ホド
貰う;モラウ
訳;ワケ
間;アイダ
侭;ママ
付ける;ツケル
子;コ
彼女;カノジョ
僕;ボク
見える;ミエル
矢張り;ヤハリ
過ぎる;スギル
必要;ヒツヨウ
筈;ハズ
女性;ジョセイ
こう;コウ
ばかり;バカリ
以上;イジョウ
始める;ハジメル
変わる;カワル
気持ち;キモチ
関係;カンケイ
別;ベツ
若し;モシ
通り;トオリ
心;ココロ
頂く;イタダク
普通;フツウ
止める;ヤメル
受ける;ウケル
ちゃん;チャン
続ける;ツヅケル
確か;タシカ
力;チカラ
最近;サイキン
勿論;モチロン
戻る;モドル
音;オト
殆ど;ホトンド
場所;バショ
形;カタチ
用;ヨウ
以外;イガイ
最初;サイショ
済む;スム
ちゃう;チャウ
送る;オクル
先ず;マズ
代;ダイ
理由;リユウ
昔;ムカシ
駄目;ダメ
易い;ヤスイ
娘;ムスメ
為さる;ナサル
説明;セツメイ
君;クン
心配;シンパイ
御座る;ゴザル
生活;セイカツ
向かう;ムカウ
特に;トクニ
簡単;カンタン
残る;ノコル
凄い;スゴイ
世界;セカイ
連絡;レンラク
最後;サイゴ
君-代名詞;キミ
無理;ムリ
探す;サガス
点;テン
変える;カエル
積り;ツモリ
続く;ツヅク
動く;ウゴク
男性;ダンセイ
時代;ジダイ
主人;シュジン
笑う;ワラウ
選ぶ;エラブ
経験;ケイケン
打つ;ウツ
ずっと;ズット
立てる;タテル
今度;コンド
必ず;カナラズ
調べる;シラベル
行う;オコナウ
客;キャク
難い;ガタイ
首;クビ
生きる;イキル
市;シ
上がる;アガル
落ちる;オチル
深い;フカイ
決める;キメル
致す;イタス
はっきり;ハッキリ
暫く;シバラク
夫;オット
合う;アウ
似る;ニル
連れる;ツレル
酷い;ヒドイ
相談;ソウダン
嬉しい;ウレシイ
会;カイ
周り;マワリ
線;セン
例えば;タトエバ
中々;ナカナカ
利用;リヨウ
無くなる;ナクナル
払う;ハラウ
妻;ツマ
夢;ユメ
式;シキ
一杯;イッパイ
怖い;コワイ
頑張る;ガンバル
十分;ジュウブン
息子;ムスコ
思い出す;オモイダス
室;シツ
県;ケン
原因;ゲンイン
聞こえる;キコエル
光;ヒカリ
警察;ケイサツ
注意;チュウイ
回る;マワル
決まる;キマル
させる;サセル
見付ける;ミツケル
驚く;オドロク
急;キュウ
意見;イケン
予定;ヨテイ
伝える;ツタエル
アメリカ;アメリカ
急度;キット
船;フネ
食事;ショクジ
員;イン
可笑しい;オカシイ
とも;トモ
尋ねる;タズネル
変;ヘン
気分;キブン
大事;ダイジ
席;セキ
パソコン;パソコン
いらっしゃる;イラッシャル
進む;ススム
泣く;ナク
ソフト;ソフト
あっ;アー
腕;ウデ
優しい;ヤサシイ
起こす;オコス
高校;コウコウ
捨てる;ステル
匂い;ニオイ
確り;シッカリ
指;ユビ
落とす;オトス
紹介;ショウカイ
運転;ウンテン
社会;シャカイ
代わり;カワリ
通る;トオル
仕方;シカタ
嘘;ウソ
危険;キケン
途中;トチュウ
火;ヒ
怒る;オコル
血;チ
安心;アンシン
大体;ダイタイ
返事;ヘンジ
髪;カミ
楽しむ;タノシム
喜ぶ;ヨロコブ
うん;ウン
非常;ヒジョウ
興味;キョウミ
増える;フエル
比べる;クラベル
事故;ジコ
見付かる;ミツカル
